Kruskal: ba graph with V=1000, E=130130, 0.008219396 secs, 6021 edge scans, 2708136 w comps, 12042 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 5.226707149

SCFcach(K=2): ba graph with V=1000, E=147120, 0.000703084 secs, 416543 edge scans, 806340 w comps, 0 uf ops, 1998 pq ops, 3729 component updates, 8256/400339 cache checks for best/worst, with MST weight 4.461065990
 Prim  : ba graph with V=1000, E=147120, 0.000947794 secs, 294240 edge scans, 146121 w comps, 0 uf ops, 6750 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.461065990
Boruvka: ba graph with V=1000, E=147120, 0.002528474 secs, 735600 edge scans, 1213664 w comps, 1473808 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.461065990
Kruskal: ba graph with V=1000, E=147120, 0.009821856 secs, 7927 edge scans, 3077443 w comps, 15854 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.461065990

SCFcach(K=2): ba graph with V=1000, E=163710, 0.000961184 secs, 475052 edge scans, 906288 w comps, 0 uf ops, 1998 pq ops, 3700 component updates, 8272/450331 cache checks for best/worst, with MST weight 3.960113336
 Prim  : ba graph with V=1000, E=163710, 0.001009262 secs, 327420 edge scans, 162711 w comps, 0 uf ops, 6997 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.960113336
Boruvka: ba graph with V=1000, E=163710, 0.003349436 secs, 818550 edge scans, 1377588 w comps, 1639688 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.960113336
Kruskal: ba graph with V=1000, E=163710, 0.011143068 secs, 5099 edge scans, 3492671 w comps, 10198 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.960113336

SCFcach(K=2): ba graph with V=1000, E=179900, 0.000841080 secs, 507054 edge scans, 980670 w comps, 0 uf ops, 1998 pq ops, 3751 component updates, 8308/487498 cache checks for best/worst, with MST weight 3.737615421
 Prim  : ba graph with V=1000, E=179900, 0.001136792 secs, 359800 edge scans, 178901 w comps, 0 uf ops, 7030 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.737615421
Boruvka: ba graph with V=1000, E=179900, 0.002383886 secs, 719600 edge scans, 1343342 w comps, 1441760 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.737615421
Kruskal: ba graph with V=1000, E=179900, 0.012182316 secs, 5667 edge scans, 3794250 w comps, 11334 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.737615421

SCFcach(K=2): ba graph with V=1000, E=195690, 0.001126840 secs, 570074 edge scans, 1096723 w comps, 0 uf ops, 1998 pq ops, 3650 component updates, 8182/545589 cache checks for best/worst, with MST weight 3.149758549
 Prim  : ba graph with V=1000, E=195690, 0.001252166 secs, 391380 edge scans, 194691 w comps, 0 uf ops, 7085 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.149758549
Boruvka: ba graph with V=1000, E=195690, 0.002466940 secs, 782760 edge scans, 1475944 w comps, 1568128 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.149758549
Kruskal: ba graph with V=1000, E=195690, 0.012857330 secs, 7158 edge scans, 4202093 w comps, 14316 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.149758549

average:
SCFcach(K=2): 0.000536087 secs, 1.484 rank, 253206 edge scans, 484488 w comps, 0 uf ops, 1998 pq ops, 3681 component updates, 8181/239467 cache checks for best/worst, 
 Prim  : 0.000620711 secs, 1.774 rank, 175950 edge scans, 86976 w comps, 0 uf ops, 5838 pq ops, 0 component updates, 0/0 cache checks for best/worst, 
Boruvka: 0.001332586 secs, 2.839 rank, 379122 edge scans, 673460 w comps, 760816 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, 
Kruskal: 0.005533838 secs, 3.903 rank, 4646 edge scans, 1785649 w comps, 9293 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, 
